short_name,name,type,location,tuition_fee_min_vnd,tuition_fee_max_vnd,majors_with_fee_in_excel,status,ghi_chu_dien_hoc_phi
UTT,Trường Đại học Công nghệ Giao thông vận tải,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VACT,Học viện Kỹ thuật Mật mã,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VAEM,Học viện Dân tộc,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VINUNI,Trường Đại học VinUni,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VIU,Trường Đại học Công nghiệp Việt-Hung,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNAD,Học viện Múa Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNAM,Học viện Âm nhạc Quốc gia Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-HSB,Trường Quản trị và Kinh doanh,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-HUS,Trường Đại học Khoa học Tự nhiên,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-SIS,Trường Khoa học liên ngành và Nghệ thuật,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-UEB,Trường Đại học Kinh tế,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-UED,Trường Đại học Giáo dục,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-UET,Trường Đại học Công nghệ,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-UL,Trường Đại học Luật,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-ULIS,Trường Đại học Ngoại ngữ,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-UMP,Trường Đại học Y Dược,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-USSH,Trường Đại học Khoa học Xã hội và Nhân văn,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNU-VJU,Trường Đại học Việt - Nhật,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNUA,Học viện Nông nghiệp Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNUF,Trường Đại học Lâm nghiệp Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VNUFA,Trường Đại học Mỹ thuật Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VWA,Học viện Phụ nữ Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
VYA,Học viện Thanh thiếu niên Việt Nam,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
YQHY,Học viện Quân y,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
